     n        xn                  f(xn)             e
0    0  0.500000     -0.293108726731377  1.000000e+02
1    1  0.750000     -0.118396393853478  2.500000e-01
2    2  0.875000    -0.0368176907573804  1.250000e-01
3    3  0.937500   0.000633916159238690  6.250000e-02
4    4  0.906250    -0.0177722892268611  3.125000e-02
5    5  0.921875   -0.00848658221176801  1.562500e-02
6    6  0.929688   -0.00390535862706409  7.812500e-03
7    7  0.933594   -0.00163043811700969  3.906250e-03
8    8  0.935547  -0.000496935315319524  1.953125e-03
9    9  0.936523    6.88224449626462e-5  9.765625e-04
10  10  0.936035  -0.000213973505164056  4.882812e-04
11  11  0.936279   -7.25547881205157e-5  2.441406e-04
12  12  0.936401   -1.86098490007058e-6  1.220703e-04
13  13  0.936462    3.34820268488301e-5  6.103516e-05
14  14  0.936432    1.58108451603356e-5  3.051758e-05
15  15  0.936417    6.97501117419286e-6  1.525879e-05
16  16  0.936409    2.55703339768765e-6  7.629395e-06
17  17  0.936405    3.48029313923526e-7  3.814697e-06
18  18  0.936403   -7.56476526753147e-7  1.907349e-06
19  19  0.936404   -2.04223289890226e-7  9.536743e-07
20  20  0.936405    7.19030912588181e-8  4.768372e-07
21  21  0.936404   -6.61600794704675e-8  2.384186e-07
22  22  0.936405    2.87151080691217e-9  1.192093e-07
23  23  0.936405   -3.16442830827768e-8  5.960464e-08     n        xn                  f(xn)             e
0    0  0.500000     -0.293108726731377  1.000000e+02
1    1  0.750000     -0.118396393853478  2.500000e-01
2    2  0.875000    -0.0368176907573804  1.250000e-01
3    3  0.937500   0.000633916159238690  6.250000e-02
4    4  0.906250    -0.0177722892268611  3.125000e-02
5    5  0.921875   -0.00848658221176801  1.562500e-02
6    6  0.929688   -0.00390535862706409  7.812500e-03
7    7  0.933594   -0.00163043811700969  3.906250e-03
8    8  0.935547  -0.000496935315319524  1.953125e-03
9    9  0.936523    6.88224449626462e-5  9.765625e-04
10  10  0.936035  -0.000213973505164056  4.882812e-04
11  11  0.936279   -7.25547881205157e-5  2.441406e-04
12  12  0.936401   -1.86098490007058e-6  1.220703e-04
13  13  0.936462    3.34820268488301e-5  6.103516e-05
14  14  0.936432    1.58108451603356e-5  3.051758e-05
15  15  0.936417    6.97501117419286e-6  1.525879e-05
16  16  0.936409    2.55703339768765e-6  7.629395e-06
17  17  0.936405    3.48029313923526e-7  3.814697e-06
18  18  0.936403   -7.56476526753147e-7  1.907349e-06
19  19  0.936404   -2.04223289890226e-7  9.536743e-07
20  20  0.936405    7.19030912588181e-8  4.768372e-07
21  21  0.936404   -6.61600794704675e-8  2.384186e-07
22  22  0.936405    2.87151080691217e-9  1.192093e-07
23  23  0.936405   -3.16442830827768e-8  5.960464e-08     n        xn                  f(xn)             e
0    0  0.500000     -0.293108726731377  1.000000e+02
1    1  0.750000     -0.118396393853478  2.500000e-01
2    2  0.875000    -0.0368176907573804  1.250000e-01
3    3  0.937500   0.000633916159238690  6.250000e-02
4    4  0.906250    -0.0177722892268611  3.125000e-02
5    5  0.921875   -0.00848658221176801  1.562500e-02
6    6  0.929688   -0.00390535862706409  7.812500e-03
7    7  0.933594   -0.00163043811700969  3.906250e-03
8    8  0.935547  -0.000496935315319524  1.953125e-03
9    9  0.936523    6.88224449626462e-5  9.765625e-04
10  10  0.936035  -0.000213973505164056  4.882812e-04
11  11  0.936279   -7.25547881205157e-5  2.441406e-04
12  12  0.936401   -1.86098490007058e-6  1.220703e-04
13  13  0.936462    3.34820268488301e-5  6.103516e-05
14  14  0.936432    1.58108451603356e-5  3.051758e-05
15  15  0.936417    6.97501117419286e-6  1.525879e-05
16  16  0.936409    2.55703339768765e-6  7.629395e-06
17  17  0.936405    3.48029313923526e-7  3.814697e-06
18  18  0.936403   -7.56476526753147e-7  1.907349e-06
19  19  0.936404   -2.04223289890226e-7  9.536743e-07
20  20  0.936405    7.19030912588181e-8  4.768372e-07
21  21  0.936404   -6.61600794704675e-8  2.384186e-07
22  22  0.936405    2.87151080691217e-9  1.192093e-07
23  23  0.936405   -3.16442830827768e-8  5.960464e-080.9364045262336731 es una aproximacion de un raiz de f(x) con una tolerancia 1e-07 en 23 iteraciones0.9364045262336731 es una aproximacion de un raiz de f(x) con una tolerancia 1e-07 en 23 iteraciones
